 Coins, Symbol, Status
1inch network,1INCH,0
aave,AAVE,0
algorand,ALGO,0
apecoin,APE,0
arweave,AR,0
avalance,AVAX,0
axie infinity,AXS,0
axis token,AXIS,0
basic attention token,BAT,0
binance USD,BUSD,0
bitcoin,BTC,0
bitcoin cash,BCH,0
bitcoin gold,BTG,0
bitcoin sv,BSV,0
bittorrent-new,BTT,0
bnb,BNB,0
cardano,ADA,0
celo,CELO,0
celsius,CEL,0
chainlink,LINK,0
chiliz,CHZ,0
coinmerge,CMERGE,0
compound,COMP,0
convex finance,CVX,0
cosmos,ATOM,0
cronos,CRO,0
curve dao token,CRV,0
dai,DAI,0
dash,DASH,0
decentraland,MANA,0
decred,DCR,0
deeponion,ONION,0
dogecoin,DOGE,0
ecash,XEC,0
elrond,EGLD,0
enjin coin,ENJ,0
eos,EOS,0
ethereum,ETH,0
ethereum classic,ETC,0
fantom,FTM,0
fei usd,FEI,0
filecoin,FIL,0
flow,FLOW,0
ftx token,FTT,0
gala,GALA,0
gnosis,GNO,0
gulden,NLG,0
hakka finance,HAKKA,0
hedera,HBAR,0
helium,HNT,0
hempcoin,THC,0
holo,HOT,0
huobi token,HT,0
internet computer,ICP,0
iota,MIOTA,0
kadena,KDA,0
kava,KAVA,0
klaytn,KLAY,0
kucoin token,KCS,0
kusama,KSM,0
lido dao,LDO,0
litecoin,LTC,0
loopring,LRC,0
maker,MKR,0
mina,MINA,0
monero,XMR,0
monolith,TKN,0
near protocol,NEAR,0
nem,xem,0
neo,NEO,0
neutrino usd,USDN,0
nexo,NEXO,0
oasis network,ROSE,0
okb,OKB,0
pancakeswap,CAKE,0
pax dollar,USDP,0
pax gold,PAXG,0
polkadot,DOT,0
polygon,MATIC,0
qtum,QTUM,0
quant,QNT,0
shard,SHARD,0
shiba inu,SHIB,0
solana,SOL,0
stacks,STX,0
stepn,GMT,0
synthetix,SNX,0
tether,USDT,0
tezos,XTZ,0
the graph,GRT,0
the sandbox,SAND,0
theta network,THETA,0
thorchain,RUNE,0
tron,TRX,0
trueusd,TUSD,0
trust wallet token,TWT,0
uniswap,UNI,0
unus sed leo,LEO,0
usd coin,USDC,0
usdd,USDD,0
vechain,VET,0
veridocglobal,VDG,0
waves,WAVES,0
wrapped bitcoin,WBTC,0
XRP,XRP,0
yearn.finance,YFI,0
zcash,ZEC,0
zilliqa,ZIL,0
,,
shih tzu,SHIH,1
million toke,MM,1
brownies swap,BROWN,1
milf token,MILF,1
save the kids,KIDS,1
metaplayers.gg,FPS,1
whalefarm,WHALEF,1
tsuzuki inu,TZKI,1
uranium finance,URF,1
squid game,SQUID,1
minereum,MNE,1
dogebonk,DOBO,1
baby yooshi,BABY YOOSHI,1
supermoon,OSM,1
bogged,BOG,1
meowth neko,MEWN,1
minidoge,MINIDOGE,1
poodl token,POODL,1
terraKRW,KRW,1
gate,GATE,1
touchcon,TOC,1
quadrantprotocol,EQUAD,1
poseidon network,QQQ,1
poa network,POA,1
bigone token,ONE,1
safex token,SFT,1
stem cell coin,SCC,1
infinitecoin,IFC,1
quickx protocol,QCX,1
cwv chain,CWV,1
karma,KARMA,1
linker coin,lnc,1
mobilian coin,MBN,1
vetri,VLD,1
otocash,OTO,1
vestchain,VEST,1
jigstack,STAK,1
project pai,PAI,1
insights network,INSTAR,1
basid coin,BASID,1
euno,EUNO,1
amlt,AMLT,1
crypto20,C20,1
cutcoin,CUT,1
blackcoin,BLK,1
bankerdoge,BANKER,1
vibe,VIBE,1
hush,HUSH,1
